Current Fee Category,Keyword's Recommended Seller Facing Fee Category,SPS Team Next Step for JP marketplace
Amazon Device Accessories,Amazon Device Accessories,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Automotive and Powersports,Automotive and Powersports,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Baby Products,Baby Products,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Backpacks, Handbags, and Luggage","Backpacks, Handbags, and Luggage","Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Beauty, Health and Personal Care",Amazon Device Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Beer,Beer,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies","Business, Industrial, and Scientific Supplies","Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Clothing and Accessories,Clothing and Accessories,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Compact Appliances,Compact Appliances,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Computers,Computers,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Consumer Electronics,Consumer Electronics,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Electronic Accessories,Electronic Accessories,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Everything Else,Everything Else,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Eyewear,Eyewear,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Footwear,Footwear,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Full-Size Appliances,Full-Size Appliances,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Furniture,Furniture,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Grocery and Gourmet,Grocery and Gourmet,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen,Home and Kitchen,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen Appliances,Home and Kitchen Appliances,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Jewelry,Jewelry,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Mattresses,Mattresses,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Media - Books, DVD, Music, Software, Video","Media - Books, DVD, Music, Software, Video","Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Musical Instruments and AV Production,Musical Instruments and AV Production,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tools and Home Improvement,Tools and Home Improvement,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Pet Products,Pet Products,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Professional Medical Supplies,Professional Medical Supplies,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Sports and Outdoors,Sports and Outdoors,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tires,Tires,"Category is already correct. Email Seller using blurb: jp_only_category_already_correct from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
